18:12:23.506 | Info | '/user/details' | 
18:12:27.725 | Info | '/user/details' | 
18:12:27.751 | Info | '/product/list' | 
18:12:30.293 | Info | '/user/details' | 
18:12:44.928 | Info | '/user/details' | 
18:12:44.935 | Info | '/blog/list' | 
18:12:48.970 | Info | '/user/details' | 
18:12:49.002 | Info | '/vendors' | 
18:12:50.629 | Info | '/user/details' | 
18:12:50.670 | Info | '/product/list' | 
18:13:06.140 | Info | '/user/details' | 
18:13:12.253 | Info | '/user/details' | 
18:13:12.279 | Info | '/vendors' | 
18:13:15.358 | Info | '/user/details' | 
18:13:15.389 | Info | '/product/list' | 
18:13:18.818 | Info | '/user/details' | 
18:13:18.844 | Info | '/product/details' | 
18:14:06.142 | Info | '/user/details' | 
18:14:11.716 | Info | '/user/details' | 
18:14:11.745 | Info | '/vendors' | 
18:14:13.343 | Info | '/user/details' | 
18:14:13.388 | Info | '/product/list' | 
18:14:17.826 | Info | '/user/details' | 
18:14:17.838 | Info | '/blog/list' | 
18:14:29.121 | Info | '/user/details' | 
18:14:32.830 | Info | '/user/details' | 
18:14:32.857 | Info | '/product/list' | 
18:14:35.692 | Info | '/user/details' | 
18:14:35.723 | Info | '/vendors' | 
18:14:39.451 | Info | '/user/details' | 
18:15:40.894 | Info | '/user/details' | 
18:15:40.921 | Info | '/vendors' | 
18:15:42.210 | Info | '/user/details' | 
18:15:42.224 | Info | '/vendor/:id/details' | 
18:16:06.520 | Info | '/user/details' | 
18:16:06.546 | Info | '/product/list' | 
18:19:58.913 | Info | '/user/details' | 
18:19:58.940 | Info | '/product/list' | 
18:20:02.437 | Info | '/user/details' | 
18:20:02.464 | Info | '/product/details' | 
18:20:05.975 | Info | '/user/details' | 
18:20:11.255 | Info | '/user/details' | 
18:20:11.281 | Info | '/product/list' | 
18:20:17.929 | Info | '/user/details' | 
18:20:17.958 | Info | '/product/details' | 
